,Value,Time
282,    38 994 269.203,2018-10-29 14:05:00.0000000
283,    38 994 166.016,2018-10-29 14:00:00.0000000
284,    38 994 069.786,2018-10-29 13:55:00.0000000
285,    38 993 974.237,2018-10-29 13:50:00.0000000
286,    38 993 867.095,2018-10-29 13:45:00.0000000
287,    38 993 761.673,2018-10-29 13:40:00.0000000
288,    38 993 658.974,2018-10-29 13:35:00.0000000
289,    38 993 561.562,2018-10-29 13:30:00.0000000
290,    38 993 456.024,2018-10-29 13:25:00.0000000
291,    38 993 349.039,2018-10-29 13:20:00.0000000
292,    38 993 237.519,2018-10-29 13:15:00.0000000
293,    38 993 116.261,2018-10-29 13:10:00.0000000
294,    38 993 003.138,2018-10-29 13:05:00.0000000
295,    38 992 901.827,2018-10-29 13:00:00.0000000
296,    38 992 795.439,2018-10-29 12:55:00.0000000
297,    38 992 692.813,2018-10-29 12:50:00.0000000
298,    38 992 590.505,2018-10-29 12:45:00.0000000
299,    38 992 487.018,2018-10-29 12:40:00.0000000
300,    38 992 383.696,2018-10-29 12:35:00.0000000
301,    38 992 277.768,2018-10-29 12:30:00.0000000
302,    38 992 179.383,2018-10-29 12:25:00.0000000
303,    38 992 091.398,2018-10-29 12:20:00.0000000
304,    38 991 999.287,2018-10-29 12:15:00.0000000
305,    38 991 906.645,2018-10-29 12:10:00.0000000
306,    38 991 807.674,2018-10-29 12:05:00.0000000
307,    38 991 706.076,2018-10-29 12:00:00.0000000
308,    38 991 607.452,2018-10-29 11:55:00.0000000
309,    38 991 515.656,2018-10-29 11:50:00.0000000
310,    38 991 423.213,2018-10-29 11:45:00.0000000
311,    38 991 320.554,2018-10-29 11:40:00.0000000
312,    38 991 217.902,2018-10-29 11:35:00.0000000
313,    38 991 126.327,2018-10-29 11:30:00.0000000
314,    38 991 041.295,2018-10-29 11:25:00.0000000
315,    38 990 952.584,2018-10-29 11:20:00.0000000
316,    38 990 856.012,2018-10-29 11:15:00.0000000
317,    38 990 758.212,2018-10-29 11:10:00.0000000
318,    38 990 672.427,2018-10-29 11:05:00.0000000
319,    38 990 578.462,2018-10-29 11:00:00.0000000
320,    38 990 477.118,2018-10-29 10:55:00.0000000
321,    38 990 375.920,2018-10-29 10:50:00.0000000
322,    38 990 272.411,2018-10-29 10:45:00.0000000
323,    38 990 174.730,2018-10-29 10:40:00.0000000
324,    38 990 082.484,2018-10-29 10:35:00.0000000
325,    38 989 982.398,2018-10-29 10:30:00.0000000
326,    38 989 884.461,2018-10-29 10:25:00.0000000
327,    38 989 788.148,2018-10-29 10:20:00.0000000
328,    38 989 695.463,2018-10-29 10:15:00.0000000
329,    38 989 598.695,2018-10-29 10:10:00.0000000
330,    38 989 498.047,2018-10-29 10:05:00.0000000
331,    38 989 398.995,2018-10-29 10:00:00.0000000
332,    38 989 299.213,2018-10-29 09:55:00.0000000
333,    38 989 200.528,2018-10-29 09:50:00.0000000
334,    38 989 106.449,2018-10-29 09:45:00.0000000
